         pCa             force           
  Lims
    7.50000E+00    2.94403E-02
    7.45000E+00    3.03729E-02
    7.40000E+00    3.14359E-02
    7.35000E+00    3.26499E-02
    7.30000E+00    3.40391E-02
    7.25000E+00    3.56326E-02
    7.20000E+00    3.74649E-02
    7.15000E+00    3.95777E-02
    7.10000E+00    4.20217E-02
    7.05000E+00    4.48586E-02
    7.00000E+00    4.81640E-02
    6.95000E+00    5.20320E-02
    6.90000E+00    5.65795E-02
    6.85000E+00    6.19536E-02
    6.80000E+00    6.83414E-02
    6.75000E+00    7.59815E-02
    6.70000E+00    8.51856E-02
    6.65000E+00    9.63600E-02
    6.60000E+00    1.10046E-01
    6.55000E+00    1.26971E-01
    6.50000E+00    1.48133E-01
    6.45000E+00    1.74920E-01
    6.40000E+00    2.09305E-01
    6.35000E+00    2.54153E-01
    6.30000E+00    3.13733E-01
    6.25000E+00    3.94573E-01
    6.20000E+00    5.06939E-01
    6.15000E+00    6.67317E-01
    6.10000E+00    9.02148E-01
    6.05000E+00    1.25072E+00
    6.00000E+00    1.75558E+00
    5.95000E+00    2.42112E+00
    5.90000E+00    3.17803E+00
    5.85000E+00    3.93211E+00
    5.80000E+00    4.61936E+00
    5.75000E+00    5.19995E+00
    5.70000E+00    5.64529E+00
    5.65000E+00    5.95377E+00
    5.60000E+00    6.15723E+00
    5.55000E+00    6.29299E+00
    5.50000E+00    6.38730E+00
    5.45000E+00    6.45562E+00
    5.40000E+00    6.50696E+00
    5.35000E+00    6.54669E+00
    5.30000E+00    6.57815E+00
    5.25000E+00    6.60354E+00
    5.20000E+00    6.62435E+00
    5.15000E+00    6.64162E+00
    5.10000E+00    6.65609E+00
    5.05000E+00    6.66832E+00
    5.00000E+00    6.67873E+00
    4.95000E+00    6.68765E+00
    4.90000E+00    6.69533E+00
    4.85000E+00    6.70196E+00
    4.80000E+00    6.70773E+00
    4.75000E+00    6.71274E+00
    4.70000E+00    6.71712E+00
    4.65000E+00    6.72096E+00
    4.60000E+00    6.72432E+00
    4.55000E+00    6.72728E+00
    4.50000E+00    6.72988E+00
    4.45000E+00    6.73217E+00
    4.40000E+00    6.73420E+00
    4.35000E+00    6.73599E+00
    4.30000E+00    6.73757E+00
    4.25000E+00    6.73897E+00
    4.20000E+00    6.74021E+00
    4.15000E+00    6.74131E+00
    4.10000E+00    6.74228E+00
    4.05000E+00    6.74315E+00
    4.00000E+00    6.74392E+00
    3.95000E+00    6.74460E+00
    3.90000E+00    6.74521E+00
    3.85000E+00    6.74575E+00
    3.80000E+00    6.74623E+00
    3.75000E+00    6.74665E+00
    3.70000E+00    6.74703E+00
    3.65000E+00    6.74737E+00
    3.60000E+00    6.74767E+00
    3.55000E+00    6.74794E+00
    3.50000E+00    6.74818E+00
    3.45000E+00    6.74839E+00
    3.40000E+00    6.74858E+00
    3.35000E+00    6.74875E+00
    3.30000E+00    6.74890E+00
    3.25000E+00    6.74903E+00
    3.20000E+00    6.74919E+00
    3.15000E+00    6.74929E+00
    3.10000E+00    6.74938E+00
    3.05000E+00    6.74946E+00
    3.00000E+00    6.74953E+00
    2.95000E+00    6.74960E+00
    2.90000E+00    6.74965E+00
    2.85000E+00    6.74969E+00
    2.80000E+00    6.74975E+00
    2.75000E+00    6.74979E+00
    2.70000E+00    6.74983E+00
    2.65000E+00    6.74986E+00
    2.60000E+00    6.74989E+00
    2.55000E+00    6.74991E+00
    2.50000E+00    6.74993E+00
