         pCa             force           
	lims
    7.5000000000E+00    2.8597700875E-03
    7.4499998093E+00    3.0607434455E-03
    7.4000000954E+00    3.2861996442E-03
    7.3499999046E+00    3.5391189158E-03
    7.3000001907E+00    3.8228339981E-03
    7.2500000000E+00    4.1411030106E-03
    7.1999998093E+00    4.4980957173E-03
    7.1500000954E+00    4.8985253088E-03
    7.0999999046E+00    5.3476644680E-03
    7.0500001907E+00    5.8513986878E-03
    7.0000000000E+00    6.4163506031E-03
    6.9499998093E+00    7.0499237627E-03
    6.9000000954E+00    7.7603850514E-03
    6.8499999046E+00    8.5570234805E-03
    6.8000001907E+00    9.4501972198E-03
    6.7500000000E+00    1.0451522656E-02
    6.6999998093E+00    1.1573959142E-02
    6.6500000954E+00    1.2831958942E-02
    6.5999999046E+00    1.4241722412E-02
    6.5500001907E+00    1.5821222216E-02
    6.5000000000E+00    1.7590582371E-02
    6.4499998093E+00    1.9572138786E-02
    6.4000000954E+00    2.1790681407E-02
    6.3499999046E+00    2.4273801595E-02
    6.3000001907E+00    2.7051972225E-02
    6.2500000000E+00    3.0158933252E-02
    6.1999998093E+00    3.3631794155E-02
    6.1500000954E+00    3.7511318922E-02
    6.0999999046E+00    4.1842199862E-02
    6.0500001907E+00    4.6672936529E-02
    6.0000000000E+00    5.2056282759E-02
    5.9499998093E+00    5.8048795909E-02
    5.9000000954E+00    6.4710929990E-02
    5.8499999046E+00    7.2106637061E-02
    5.8000001907E+00    8.0302685499E-02
    5.7500000000E+00    8.9367896318E-02
    5.6999998093E+00    9.9371939898E-02
    5.6500000954E+00    1.1038354039E-01
    5.5999999046E+00    1.2246896327E-01
    5.5500001907E+00    1.3568900526E-01
    5.5000000000E+00    1.5009675920E-01
    5.4499998093E+00    1.6573394835E-01
    5.4000000954E+00    1.8262758851E-01
    5.3499999046E+00    2.0078732073E-01
    5.3000001907E+00    2.2020071745E-01
    5.2500000000E+00    2.4083200097E-01
    5.1999998093E+00    2.6261848211E-01
    5.1500000954E+00    2.8547036648E-01
    5.0999999046E+00    3.0927109718E-01
    5.0500001907E+00    3.3387809992E-01
    5.0000000000E+00    3.5912698507E-01
    4.9499998093E+00    3.8483482599E-01
    4.9000000954E+00    4.1080591083E-01
    4.8499999046E+00    4.3683907390E-01
    4.8000001907E+00    4.6273252368E-01
    4.7500000000E+00    4.8829182982E-01
    4.6999998093E+00    5.1333403587E-01
    4.6500000954E+00    5.3769385815E-01
    4.5999999046E+00    5.6122690439E-01
    4.5500001907E+00    5.8381223679E-01
    4.5000000000E+00    6.0535317659E-01
    4.4499998093E+00    6.2577748299E-01
    4.4000000954E+00    6.4503765106E-01
    4.3499999046E+00    6.6310662031E-01
    4.3000001907E+00    6.7997759581E-01
    4.2500000000E+00    6.9566154480E-01
    4.1999998093E+00    7.1018278599E-01
    4.1500000954E+00    7.2357803583E-01
    4.0999999046E+00    7.3589301109E-01
    4.0500001907E+00    7.4717968702E-01
    4.0000000000E+00    7.5749516487E-01
    3.9500000477E+00    7.6689887047E-01
    3.9000000954E+00    7.7545148134E-01
    3.8499999046E+00    7.8321433067E-01
    3.7999999523E+00    7.9024654627E-01
    3.7500000000E+00    7.9660642147E-01
    3.7000000477E+00    8.0234926939E-01
    3.6500000954E+00    8.0752807856E-01
    3.5999999046E+00    8.1219220161E-01
    3.5499999523E+00    8.1638836861E-01
    3.5000000000E+00    8.2015949488E-01
    3.4500000477E+00    8.2354593277E-01
    3.4000000954E+00    8.2658416033E-01
    3.3499999046E+00    8.2930845022E-01
    3.2999999523E+00    8.3174937963E-01
    3.2500000000E+00    8.3393514156E-01
    3.2000000477E+00    8.3589160442E-01
    3.1500000954E+00    8.3764189482E-01
    3.0999999046E+00    8.3920705318E-01
    3.0499999523E+00    8.4060645103E-01
    3.0000000000E+00    8.4185689688E-01
    2.9500000477E+00    8.4297406673E-01
    2.9000000954E+00    8.4397155046E-01
    2.8499999046E+00    8.4486281872E-01
    2.7999999523E+00    8.4565824270E-01
    2.7500000000E+00    8.4636813402E-01
    2.7000000477E+00    8.4700185061E-01
    2.6500000954E+00    8.4756731987E-01
    2.5999999046E+00    8.4807175398E-01
    2.5499999523E+00    8.4852194786E-01
    2.5000000000E+00    8.4892338514E-01
    2.4500000477E+00    8.4928148985E-01
    2.4000000954E+00    8.4960079193E-01
    2.3499999046E+00    8.4988558292E-01
    2.2999999523E+00    8.5013949871E-01
    2.2500000000E+00    8.5036599636E-01
    2.2000000477E+00    8.5056781769E-01
    2.1500000954E+00    8.5074776411E-01
    2.0999999046E+00    8.5090845823E-01
    2.0499999523E+00    8.5105144978E-01
    2.0000000000E+00    8.5117912292E-01
