	time		Ca
    0.0000000000E+00    9.9999997172E-10    3.4920100006E-05
    1.0000000475E-03    9.9999997172E-10    3.5008662962E-05
    2.0000000950E-03    9.9999997172E-10    3.6578789150E-05
    3.0000000261E-03    2.4687900613E-09    3.5899127397E-05
    4.0000001900E-03    5.5919100461E-09    3.5394412407E-05
    4.9999998882E-03    1.0436400188E-08    3.5071418097E-05
    6.0000000522E-03    1.7232700600E-08    3.4965192754E-05
    7.0000002161E-03    2.6148800458E-08    3.5978933738E-05
    8.0000003800E-03    3.7298200084E-08    3.8962465624E-05
    8.9999996126E-03    5.0746301383E-08    4.4363790948E-05
    9.9999997765E-03    6.6517600317E-08    5.3131978348E-05
    1.0999999940E-02    8.4600699779E-08    6.5842687036E-05
    1.2000000104E-02    1.0495399749E-07    8.3917766460E-05
    1.3000000268E-02    1.2751000611E-07    1.0772213136E-04
    1.4000000432E-02    1.5217999305E-07    1.3890567061E-04
    1.4999999665E-02    1.7885699322E-07    1.7936658696E-04
    1.6000000760E-02    2.0742099593E-07    2.3011081794E-04
    1.7000000924E-02    2.3773800706E-07    2.9247396742E-04
    1.7999999225E-02    2.6966699807E-07    3.6615499994E-04
    1.8999999389E-02    3.0306199506E-07    4.5231732656E-04
    1.9999999553E-02    3.3776899500E-07    5.5262906244E-04
    2.0999999717E-02    3.7363500383E-07    6.6796032479E-04
    2.1999999881E-02    4.1050299160E-07    8.0035050632E-04
    2.3000000045E-02    4.4821999268E-07    9.4979983987E-04
    2.4000000209E-02    4.8663201824E-07    1.1199226137E-03
    2.5000000373E-02    5.2558897323E-07    1.3075821334E-03
    2.6000000536E-02    5.6494502587E-07    1.5163875651E-03
    2.7000000700E-02    6.0455602124E-07    1.7489873571E-03
    2.8000000864E-02    6.4428598989E-07    2.0042001270E-03
    2.8999999166E-02    6.8400299824E-07    2.2827708162E-03
    2.9999999329E-02    7.2358102443E-07    2.5882432237E-03
    3.0999999493E-02    7.6290001516E-07    2.9152273200E-03
    3.2000001520E-02    8.0184798890E-07    3.2656225376E-03
    3.2999999821E-02    8.4031699998E-07    3.6349445581E-03
    3.4000001848E-02    8.7820802719E-07    3.9947498590E-03
    3.5000000149E-02    9.1542801783E-07    4.3910518289E-03
    3.5999998450E-02    9.5189000149E-07    4.8121246509E-03
    3.7000000477E-02    9.8751502264E-07    5.2237920463E-03
    3.7999998778E-02    1.0222299807E-06    5.6557729840E-03
    3.9000000805E-02    1.0559699604E-06    6.1081326567E-03
    3.9999999106E-02    1.0886700466E-06    6.5811779350E-03
    4.1000001132E-02    1.1202799897E-06    7.0752948523E-03
    4.1999999434E-02    1.1507599993E-06    7.5905579142E-03
    4.3000001460E-02    1.1800500488E-06    8.1271585077E-03
    4.3999999762E-02    1.2081300156E-06    8.6853057146E-03
    4.5000001788E-02    1.2349499912E-06    9.2652104795E-03
    4.6000000089E-02    1.2605099755E-06    9.8667368293E-03
    4.6999998391E-02    1.2847699509E-06    1.0441215709E-02
    4.8000000417E-02    1.3077200265E-06    1.1032337323E-02
    4.8999998719E-02    1.3293499705E-06    1.1640024371E-02
    5.0000000745E-02    1.3496500060E-06    1.2302568182E-02
    5.0999999046E-02    1.3686100147E-06    1.2962725945E-02
    5.2000001073E-02    1.3862400010E-06    1.3621472754E-02
    5.2999999374E-02    1.4025399651E-06    1.4275541529E-02
    5.4000001401E-02    1.4175200249E-06    1.4943435788E-02
    5.4999999702E-02    1.4311799532E-06    1.5640696511E-02
    5.6000001729E-02    1.4435399862E-06    1.6367422417E-02
    5.7000000030E-02    1.4546200191E-06    1.7123633996E-02
    5.7999998331E-02    1.4644300563E-06    1.7909361050E-02
    5.9000000358E-02    1.4729899931E-06    1.8724516034E-02
    5.9999998659E-02    1.4803299564E-06    1.9502179697E-02
    6.1000000685E-02    1.4864599507E-06    2.0299149677E-02
    6.1999998987E-02    1.4914099893E-06    2.1115221083E-02
    6.3000001013E-02    1.4952099718E-06    2.1950490773E-02
    6.4000003040E-02    1.4978900253E-06    2.2804638371E-02
    6.4999997616E-02    1.4994800495E-06    2.3677935824E-02
    6.5999999642E-02    1.5000000531E-06    2.4570213631E-02
    6.7000001669E-02    1.4994900539E-06    2.5481568649E-02
    6.8000003695E-02    1.4979799516E-06    2.6391925290E-02
    6.8999998271E-02    1.4954899825E-06    2.7294378728E-02
    7.0000000298E-02    1.4920799458E-06    2.8188500553E-02
    7.1000002325E-02    1.4877499552E-06    2.9070092365E-02
