         time            Ca              
    0.0000000000E+00    9.9999999392E-09    5.4589036154E-04
    5.0050002756E-04    2.6957201271E-07    5.4774212185E-04
    1.0010000551E-03    5.2062597433E-07    5.6153669721E-04
    1.5015000245E-03    7.6344099398E-07    6.0390046565E-04
    2.0020001102E-03    9.9828798739E-07    7.0149032399E-04
    2.5025000796E-03    1.2254299691E-06    8.9637259953E-04
    3.0030000489E-03    1.4451200059E-06    1.2513700640E-03
    3.5035000183E-03    1.6575900190E-06    1.8551017856E-03
    4.0040002204E-03    1.8631000103E-06    2.8263491113E-03
    4.5044999570E-03    2.0618599592E-06    4.3174382299E-03
    5.0050001591E-03    2.2540900773E-06    6.5165604465E-03
    5.5055101402E-03    2.4400198981E-06    9.6489470452E-03
    6.0060098767E-03    2.6198499654E-06    1.3976233080E-02
    6.5065100789E-03    2.7937799132E-06    1.9795419648E-02
    7.0070098154E-03    2.9620000532E-06    2.7436101809E-02
    7.5075100176E-03    3.1247000152E-06    3.7256557494E-02
    8.0080097541E-03    3.2820601064E-06    4.9638699740E-02
    8.5085099563E-03    3.4342499475E-06    6.4982138574E-02
    9.0090101585E-03    3.5814500734E-06    8.3697140217E-02
    9.5095103607E-03    3.7238201003E-06    1.0619684309E-01
    1.0010000318E-02    3.8615198719E-06    1.3288758695E-01
    1.0510499589E-02    3.9946999095E-06    1.6416226327E-01
    1.1010999791E-02    4.1235098251E-06    2.0038789511E-01
    1.1511499994E-02    4.2480901357E-06    2.4189774692E-01
    1.2012000196E-02    4.3685899982E-06    2.8898197412E-01
    1.2512500398E-02    4.4851299208E-06    3.4187889099E-01
    1.3012999669E-02    4.5978399612E-06    4.0076801181E-01
    1.3513499871E-02    4.7068601816E-06    4.6576353908E-01
    1.4014000073E-02    4.8123001761E-06    5.3691148758E-01
    1.4514500275E-02    4.9142799980E-06    6.1418235302E-01
    1.5014999546E-02    5.0075000217E-06    6.9749099016E-01
    1.5515499748E-02    4.9248101277E-06    7.8655892611E-01
    1.6016000882E-02    4.8434999371E-06    8.8052129745E-01
    1.6516499221E-02    4.7635298870E-06    9.7842109203E-01
    1.7016999424E-02    4.6848799684E-06    1.0793647766E+00
    1.7517499626E-02    4.6075401769E-06    1.1825132370E+00
    1.8017999828E-02    4.5314700401E-06    1.2871004343E+00
    1.8518500030E-02    4.4566600081E-06    1.3924384117E+00
    1.9019000232E-02    4.3830900722E-06    1.4979195595E+00
    1.9519500434E-02    4.3107402234E-06    1.6030143499E+00
    2.0020000637E-02    4.2395799937E-06    1.7072677612E+00
    2.0520500839E-02    4.1696098378E-06    1.8102958202E+00
    2.1020999178E-02    4.1007901928E-06    1.9117772579E+00
    2.1521499380E-02    4.0331001401E-06    2.0114502907E+00
    2.2021999583E-02    3.9665401346E-06    2.1091022491E+00
    2.2522499785E-02    3.9010801629E-06    2.2045667171E+00
    2.3022999987E-02    3.8367002162E-06    2.2977170944E+00
    2.3523500189E-02    3.7733900626E-06    2.3884594440E+00
    2.4024000391E-02    3.7111299207E-06    2.4767293930E+00
    2.4524500594E-02    3.6498900045E-06    2.5624871254E+00
    2.5025000796E-02    3.5896700865E-06    2.6457149982E+00
    2.5525499135E-02    3.5304399262E-06    2.7264082432E+00
    2.6025999337E-02    3.4721999782E-06    2.8045809269E+00
    2.6526499540E-02    3.4149200019E-06    2.8802547455E+00
    2.7026999742E-02    3.3585799883E-06    2.9534637928E+00
    2.7527499944E-02    3.3031799376E-06    3.0242481232E+00
    2.8028000146E-02    3.2486900636E-06    3.0926532745E+00
    2.8528500348E-02    3.1951099118E-06    3.1587297916E+00
    2.9029000551E-02    3.1424099234E-06    3.2225320339E+00
    2.9529500753E-02    3.0905900985E-06    3.2841153145E+00
    3.0029999092E-02    3.0396199691E-06    3.3435380459E+00
    3.0530499294E-02    2.9894899853E-06    3.4008591175E+00
