         time            Ca              
    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    7.5075100176E-04    2.3168800567E-07    3.4311988202E-06
    1.5015000245E-03    4.5206499522E-07    2.9312208426E-05
    2.2522499785E-03    6.6168399826E-07    1.1080693366E-04
    3.0030000489E-03    8.6106899744E-07    3.0302396044E-04
    3.7537498865E-03    1.0507200159E-06    6.9255993003E-04
    4.5044999570E-03    1.2311099908E-06    1.4050720492E-03
    5.2552600391E-03    1.4027000361E-06    2.6102343109E-03
    6.0060098767E-03    1.5659099972E-06    4.5238169841E-03
    6.7567601800E-03    1.7211500563E-06    7.4073658325E-03
    7.5075100176E-03    1.8688200498E-06    1.1564919725E-02
    8.2582598552E-03    2.0092700197E-06    1.7338179052E-02
    9.0090101585E-03    2.1428700165E-06    2.5099879131E-02
    9.7597604617E-03    2.2699500732E-06    3.5246502608E-02
    1.0510499589E-02    2.3908201001E-06    4.8188969493E-02
    1.1261300184E-02    2.5057900075E-06    6.4345821738E-02
    1.2012000196E-02    2.6151499242E-06    8.4126524627E-02
    1.2762799859E-02    2.7191699701E-06    1.0793620348E-01
    1.3513499871E-02    2.8181200378E-06    1.3614661992E-01
    1.4264300466E-02    2.9122300020E-06    1.6910578310E-01
    1.5014999546E-02    2.9984998946E-06    2.0712742209E-01
    1.5765799209E-02    2.9243899462E-06    2.5034782290E-01
    1.6516499221E-02    2.8521199056E-06    2.9812562466E-01
    1.7267299816E-02    2.7816299735E-06    3.4967130423E-01
    1.8017999828E-02    2.7128799047E-06    4.0419515967E-01
    1.8768800423E-02    2.6458299089E-06    4.6096074581E-01
    1.9519500434E-02    2.5804399684E-06    5.1925569773E-01
    2.0270299166E-02    2.5166700652E-06    5.7846158743E-01
    2.1020999178E-02    2.4544699500E-06    6.3800096512E-01
    2.1771799773E-02    2.3938100639E-06    6.9739806652E-01
    2.2522499785E-02    2.3346499347E-06    7.5621640682E-01
    2.3273300380E-02    2.2769499992E-06    8.1411641836E-01
    2.4024000391E-02    2.2206800168E-06    8.7078875303E-01
    2.4774799123E-02    2.1657899651E-06    9.2600983381E-01
    2.5525499135E-02    2.1122700673E-06    9.7957444191E-01
    2.6276299730E-02    2.0600600692E-06    1.0313500166E+00
    2.7026999742E-02    2.0091499664E-06    1.0812122822E+00
    2.7777800336E-02    1.9594899641E-06    1.1290967464E+00
    2.8528500348E-02    1.9110700578E-06    1.1749396324E+00
    2.9279299080E-02    1.8638399979E-06    1.2187255621E+00
    3.0029999092E-02    1.8177699985E-06    1.2604310513E+00
    3.0780799687E-02    1.7728500552E-06    1.3000807762E+00
    3.1531501561E-02    1.7290300320E-06    1.3376594782E+00
    3.2282300293E-02    1.8688200498E-06    1.3733257055E+00
    3.3032998443E-02    2.0092700197E-06    1.4078960419E+00
    3.3783800900E-02    2.1428700165E-06    1.4422103167E+00
    3.4534499049E-02    2.2699500732E-06    1.4769324064E+00
    3.5285301507E-02    2.3908201001E-06    1.5126428604E+00
    3.6035999656E-02    2.5057900075E-06    1.5498130322E+00
    3.6786798388E-02    2.6151499242E-06    1.5888620615E+00
    3.7537500262E-02    2.7191699701E-06    1.6301234961E+00
    3.8288298994E-02    2.8181200378E-06    1.6738938093E+00
    3.9039000869E-02    2.9122300020E-06    1.7203892469E+00
    3.9789799601E-02    2.9984998946E-06    1.7698177099E+00
    4.0540501475E-02    2.9243899462E-06    1.8221697807E+00
    4.1291300207E-02    2.8521199056E-06    1.8767738342E+00
    4.2041998357E-02    2.7816299735E-06    1.9328695536E+00
    4.2792800814E-02    2.7128799047E-06    1.9898359776E+00
    4.3543498963E-02    2.6458299089E-06    2.0470967293E+00
    4.4294301420E-02    2.5804399684E-06    2.1041898727E+00
    4.5044999570E-02    2.5166700652E-06    2.1606957912E+00
    4.5795798302E-02    2.4544699500E-06    2.2162928581E+00
    4.6546500176E-02    2.3938100639E-06    2.2706906796E+00
