 iso_vib_fluor2.out                                                      
 Number of iterations:          100
 Global Chi Sqr:    26.34989    
 Analysis time:    9.074219    
   #  Parameter      Value      Standard Deviation Est.
   1 pKd1            6.0456E+00 +/-   4.410E+00
   2 n1              3.9600E+00 +/-   1.252E+02
   3 pKd2            5.5955E+00 +/-   7.860E-01
   4 n2              2.2951E+00 +/-   2.628E+00
   5 f_min1          5.6163E-04 +/-   1.089E-01
   6 f_max1a         1.0550E-01 +/-   2.977E+00
   7 f_max1b         9.0368E-01 +/-   1.817E+00
   8 f_min2         -1.1100E-02 +/-   3.369E-02
   9 pKd3            5.8081E+00 +/-   1.584E+00
  10 n3              3.9600E+00 +/-   3.870E+01
  11 bounds1         1.0000E+00
  12 bounds2         9.8471E-01 +/-   6.016E-01
  13 bounds3         1.0038E+00 +/-   5.865E-01
