     time     force
  0.00000E+00  7.57332E-01
  2.00401E-03  8.28519E-01
  4.00802E-03  8.98888E-01
  6.01202E-03  9.68450E-01
  8.01603E-03  1.03721E+00
  1.00200E-02  1.10519E+00
  1.20240E-02  1.17238E+00
  1.40281E-02  1.23880E+00
  1.60321E-02  1.30446E+00
  1.80361E-02  1.36937E+00
  2.00401E-02  1.43353E+00
  2.20441E-02  1.49696E+00
  2.40481E-02  1.55966E+00
  2.60521E-02  1.62164E+00
  2.80561E-02  1.68290E+00
  3.00601E-02  1.74347E+00
  3.20641E-02  1.80333E+00
  3.40681E-02  1.86252E+00
  3.60721E-02  1.92102E+00
  3.80762E-02  1.97885E+00
  4.00802E-02  2.03602E+00
  4.20842E-02  2.09253E+00
  4.40882E-02  2.14839E+00
  4.60922E-02  2.20361E+00
  4.80962E-02  2.25820E+00
  5.01002E-02  2.31216E+00
  5.21042E-02  2.36550E+00
  5.41082E-02  2.41823E+00
  5.61122E-02  2.47036E+00
  5.81162E-02  2.52188E+00
  6.01202E-02  2.57282E+00
  6.21242E-02  2.62317E+00
  6.41283E-02  2.67294E+00
  6.61323E-02  2.72214E+00
  6.81363E-02  2.77078E+00
  7.01403E-02  2.81886E+00
  7.21443E-02  2.86639E+00
  7.41483E-02  2.91337E+00
  7.61523E-02  2.95981E+00
  7.81563E-02  3.00572E+00
  8.01603E-02  3.05110E+00
  8.21643E-02  3.09596E+00
  8.41683E-02  3.14031E+00
  8.61723E-02  3.18415E+00
  8.81764E-02  3.22748E+00
  9.01804E-02  3.27032E+00
  9.21844E-02  3.31266E+00
  9.41884E-02  3.35452E+00
  9.61924E-02  3.39590E+00
  9.81964E-02  3.43681E+00
  1.00200E-01  3.47724E+00
  1.02204E-01  3.51721E+00
  1.04208E-01  3.55672E+00
  1.06212E-01  3.59578E+00
  1.08216E-01  3.63439E+00
  1.10220E-01  3.67256E+00
  1.12224E-01  3.71029E+00
  1.14228E-01  3.74758E+00
  1.16232E-01  3.78445E+00
  1.18236E-01  3.82090E+00
  1.20240E-01  3.85692E+00
  1.22244E-01  3.89254E+00
  1.24248E-01  3.92774E+00
  1.26253E-01  3.96254E+00
  1.28257E-01  3.99694E+00
  1.30261E-01  4.03095E+00
  1.32265E-01  4.06456E+00
  1.34269E-01  4.09779E+00
  1.36273E-01  4.13064E+00
  1.38277E-01  4.16311E+00
  1.40281E-01  4.19521E+00
  1.42285E-01  4.22694E+00
  1.44289E-01  4.25831E+00
  1.46293E-01  4.28932E+00
  1.48297E-01  4.31997E+00
  1.50301E-01  4.35027E+00
  1.52305E-01  4.38022E+00
  1.54309E-01  4.40983E+00
  1.56313E-01  4.43909E+00
  1.58317E-01  4.46803E+00
  1.60321E-01  4.49662E+00
  1.62325E-01  4.52490E+00
  1.64329E-01  4.55284E+00
  1.66333E-01  4.58047E+00
  1.68337E-01  4.60778E+00
  1.70341E-01  4.63477E+00
  1.72345E-01  4.66146E+00
  1.74349E-01  4.68784E+00
  1.76353E-01  4.71392E+00
  1.78357E-01  4.73969E+00
  1.80361E-01  4.76518E+00
  1.82365E-01  4.79037E+00
  1.84369E-01  4.81527E+00
  1.86373E-01  4.83988E+00
  1.88377E-01  4.86421E+00
  1.90381E-01  4.88827E+00
  1.92385E-01  4.91204E+00
  1.94389E-01  4.93555E+00
  1.96393E-01  4.95878E+00
  1.98397E-01  4.98175E+00
  2.00401E-01  5.00445E+00
  2.02405E-01  5.02689E+00
  2.04409E-01  5.04908E+00
  2.06413E-01  5.07101E+00
  2.08417E-01  5.09269E+00
  2.10421E-01  5.11412E+00
  2.12425E-01  5.13531E+00
  2.14429E-01  5.15625E+00
  2.16433E-01  5.17695E+00
  2.18437E-01  5.19741E+00
  2.20441E-01  5.21764E+00
  2.22445E-01  5.23764E+00
  2.24449E-01  5.25740E+00
  2.26453E-01  5.27694E+00
  2.28457E-01  5.29626E+00
  2.30461E-01  5.31536E+00
  2.32465E-01  5.33423E+00
  2.34469E-01  5.35289E+00
  2.36473E-01  5.37133E+00
  2.38477E-01  5.38957E+00
  2.40481E-01  5.40759E+00
  2.42485E-01  5.42541E+00
