pCa	ATPase5
6 100
    9.45432935       -0.001317486 0.015
   8.714686103       -0.005580937 0.015
   8.282003673       -0.004857168 0.015
   7.974986498       -0.013123966 0.015
   7.736817065       -0.104132249 0.015 
   7.542186339        0.040084357 0.015
   7.377592968       -0.039615038 0.015
   7.234977265       -0.032077663 0.015
    7.10914009        0.026123533 0.015
   6.996531108        0.030720597 0.015
   6.894617665        0.068153019 0.015
   6.801529448       -0.003121253 0.015
   6.715845852        0.088084936 0.015
   6.636462382       -0.074129767 0.015
   6.562503249       -0.086829649 0.015
   6.493262237        0.056442664 0.015
    6.42816152       -0.021786574 0.015
   6.366722278       -0.023737358 0.015
   6.308543255        0.049408536 0.015
   6.253284834        0.010947004 0.015
   6.200656994        0.136108132 0.015
   6.150410074        0.098195082 0.015
   6.102327589        0.203927539 0.015
   6.056220578        0.284079289 0.015
   6.011923104        0.450913672 0.015
   5.969288639        0.604324404 0.015
   5.928187129        0.796558552 0.015
   5.888502596          1.1109287 0.015
   5.850131154        1.217628067 0.015
   5.812979372        1.420351209 0.015
   5.776962893        1.451903009 0.015
   5.742005284        1.522159481 0.015
    5.70803705        1.588220356 0.015
   5.674994807        1.582639419 0.015 
   5.642820569        1.641434332 0.015 
   5.611461132        1.664498811 0.015
   5.580867549        1.650130868 0.015
    5.55099467         1.71331363 0.015
   5.521800743        1.767183522 0.015
   5.493247066        1.698114483 0.015
    5.46529768        1.778769479 0.015
   5.437919099        1.778628118 0.015
   5.411080072        1.791983916 0.015
   5.384751374         1.76583211 0.015
   5.358905616        1.765741639 0.015
   5.333517077        1.787296381 0.015
   5.308561556        1.765741639 0.015
   5.284016237        1.787296381 0.015
