pCa	Force
6 100
        9.45432935         -0.091722944 0.01
       8.714686103         -0.107850056 0.01
       8.282003673         -0.082651444 0.01
       7.974986498         -0.041325722 0.01
       7.736817065         -0.025198611 0.01
       7.542186339         -0.016127111 0.01
       7.377592968         -0.032254222 0.01
       7.234977265                  0.0 0.01
        7.10914009          0.025198611 0.01
       6.996531108          0.050397222 0.01
       6.894617665          0.034270111 0.01
       6.801529448          0.050397222 0.01
       6.715845852          0.075595833 0.01
       6.636462382          0.100794444 0.01
       6.562503249          0.100794444 0.01
       6.493262237          0.100794444 0.01
        6.42816152          0.125993056 0.01
       6.366722278          0.133048667 0.01
       6.308543255          0.183445889 0.01
       6.253284834          0.183445889 0.01
       6.200656994          0.307423056 0.01
       6.150410074            0.3900745 0.01
       6.102327589          0.539250278 0.01
       6.056220578          0.860784556 0.01
       6.011923104          1.250859056 0.01
       5.969288639          1.870744889 0.01
       5.928187129          2.591425167 0.01
       5.888502596          3.346375556 0.01
       5.850131154          4.101325944 0.01
       5.812979372          4.716172056 0.01
       5.776962893          5.239295222 0.01
       5.742005284          5.629369722 0.01
        5.70803705          5.936792778 0.01
       5.674994807            6.1776915 0.01
       5.642820569          6.393391611 0.01
       5.611461132          6.535511778 0.01
       5.580867549          6.659488944 0.01
        5.55099467          6.718957667 0.01
       5.521800743          6.792537611 0.01
       5.493247066          6.833863333 0.01
        5.46529768          6.884260556 0.01
       5.437919099          6.925586278 0.01
       5.411080072          6.925586278 0.01
       5.384751374            6.9578405 0.01
       5.358905616          6.973967611 0.01
       5.333517077          6.973967611 0.01
       5.308561556          6.973967611 0.01
       5.284016237          6.973967611 0.01
