pCa	Force
1 40
7.051359137	0.082651444 0.01
6.944366875	0.066524333 0.01
6.847067881	0.066524333 0.01
6.757837317	0.091722944 0.01
6.675425898	0.107850056 0.01
6.598852334	0.133048667 0.01
6.52733171	0.100794444 0.01
6.460226305	0.116921556 0.01
6.397010902	0.158247278 0.01
6.337247753	0.133048667 0.01
6.280568138	0.183445889 0.01
6.226658548	0.174374389 0.01
6.175250154	0.192517389 0.01
6.126110675	0.2086445 0.01
6.079038014	0.249970222 0.01
6.033855225	0.307423056 0.01
5.99040648	0.332621667 0.01
5.948553818	0.381003 0.01
5.908174496	0.454582944 0.01
5.869158806	0.521107278 0.01
5.831408276	0.636012944 0.01
5.79483417	0.792244333 0.01
5.759356225	1.054309889 0.01
5.72490159	1.375844167 0.01
5.691403923	1.821355611 0.01
5.658802618	2.3676615 0.01
5.627042154	2.991579111 0.01
5.596071515	3.450193833 0.01
5.565843706	3.808014111 0.01
5.536315324	4.032785722 0.01
5.507446182	4.315010167 0.01
5.479198985	4.390606 0.01
5.451539042	4.514583167 0.01
5.424434013	4.606306111 0.01
5.397853685	4.672830444 0.01
5.371769773	4.739354778 0.01
5.346155741	4.812934722 0.01
5.320986646	4.812934722 0.01
5.296238996	4.812934722 0.01
5.271890621	4.9 0.01
