 global_titration.out                                                    
 Number of iterations:           16
 Global Chi Sqr:    49.77543    
 Analysis time:    26.80859    
   #  Parameter      Value      Standard Deviation Est.
   1 K1              2.8711E+04 +/-   2.482E+06
   2 K2a             5.5861E+00 +/-   5.698E+02
   3 K2b             7.3603E+01 +/-   6.450E+03
   4 K2c             9.8385E+01 +/-   8.594E+03
   5 f_min1          1.0068E+00 +/-   4.652E-01
   6 f_max1         -1.8823E-01 +/-   1.853E+01
   7 f_min2          9.6032E-01 +/-   2.703E-01
   8 f_max2         -2.6973E-03 +/-   1.140E+00
   9 f_min3          9.5622E-01 +/-   2.968E-01
  10 f_max3         -8.1432E-05 +/-   8.346E-01
  11 bounds          1.0000E+00
