         pCa             force           
    0.0000000000E+00    0.0000000000E+00
    2.0040099043E-03    2.5032442808E-01
    4.0080198087E-03    4.8261648417E-01
    6.0120201670E-03    6.9888657331E-01
    8.0160303041E-03    9.0085530281E-01
    1.0019999929E-02    1.0899943113E+00
    1.2024000287E-02    1.2675876617E+00
    1.4028100297E-02    1.4347515106E+00
    1.6032099724E-02    1.5924391747E+00
    1.8036099151E-02    1.7415119410E+00
    2.0040100440E-02    1.8827199936E+00
    2.2044099867E-02    2.0167284012E+00
    2.4048099294E-02    2.1441268921E+00
    2.6052100584E-02    2.2654418945E+00
    2.8056100011E-02    2.3811440468E+00
    3.0060099438E-02    2.4916558266E+00
    3.2064098865E-02    2.5973560810E+00
    3.4068100154E-02    2.6985881329E+00
    3.6072101444E-02    2.7956614494E+00
    3.8076199591E-02    2.8888604641E+00
    4.0080200881E-02    2.9784321785E+00
    4.2084198445E-02    3.0646131039E+00
    4.4088199735E-02    3.1476154327E+00
    4.6092201024E-02    3.2276325226E+00
    4.8096198589E-02    3.3048415184E+00
    5.0100199878E-02    3.3794064522E+00
    5.2104201168E-02    3.4514763355E+00
    5.4108198732E-02    3.5211894512E+00
    5.6112200022E-02    3.5886735916E+00
    5.8116201311E-02    3.6540451050E+00
    6.0120198876E-02    3.7174136639E+00
    6.2124200165E-02    3.7788798809E+00
    6.4128302038E-02    3.8385412693E+00
    6.6132299602E-02    3.8964781761E+00
    6.8136297166E-02    3.9527750015E+00
    7.0140302181E-02    4.0075068474E+00
    7.2144299746E-02    4.0607447624E+00
    7.4148297310E-02    4.1125535965E+00
    7.6152302325E-02    4.1629953384E+00
    7.8156299889E-02    4.2121276855E+00
    8.0160297453E-02    4.2600049973E+00
    8.2164302468E-02    4.3066782951E+00
    8.4168300033E-02    4.3521952629E+00
    8.6172297597E-02    4.3966002464E+00
    8.8176399469E-02    4.4399380684E+00
    9.0180397034E-02    4.4822454453E+00
    9.2184402049E-02    4.5235619545E+00
    9.4188399613E-02    4.5639219284E+00
    9.6192397177E-02    4.6033606529E+00
    9.8196402192E-02    4.6419086456E+00
    1.0019999743E-01    4.6795892715E+00
    1.0220400244E-01    4.7164459229E+00
    1.0420800000E-01    4.7524995804E+00
    1.0621199757E-01    4.7877750397E+00
    1.0821600258E-01    4.8222975731E+00
    1.1022000015E-01    4.8560905457E+00
    1.1222399771E-01    4.8891768456E+00
    1.1422800273E-01    4.9215769768E+00
    1.1623200029E-01    4.9533114433E+00
    1.1823599786E-01    4.9844007492E+00
    1.2024000287E-01    5.0148630142E+00
    1.2224400043E-01    5.0447158813E+00
    1.2424799800E-01    5.0739765167E+00
    1.2625299394E-01    5.1026754379E+00
    1.2825700641E-01    5.1308002472E+00
    1.3026100397E-01    5.1583800316E+00
    1.3226500154E-01    5.1854300499E+00
    1.3426899910E-01    5.2119636536E+00
    1.3627299666E-01    5.2379937172E+00
    1.3827699423E-01    5.2635340691E+00
    1.4028100669E-01    5.2885971069E+00
    1.4228500426E-01    5.3131937981E+00
    1.4428900182E-01    5.3373365402E+00
    1.4629299939E-01    5.3610358238E+00
    1.4829699695E-01    5.3843035698E+00
    1.5030099452E-01    5.4071493149E+00
    1.5230500698E-01    5.4295830727E+00
    1.5430900455E-01    5.4516148567E+00
    1.5631300211E-01    5.4732546806E+00
    1.5831699967E-01    5.4945101738E+00
    1.6032099724E-01    5.5153908730E+00
    1.6232499480E-01    5.5359048843E+00
    1.6432900727E-01    5.5560612679E+00
    1.6633300483E-01    5.5758671761E+00
    1.6833700240E-01    5.5953307152E+00
    1.7034099996E-01    5.6144590378E+00
    1.7234499753E-01    5.6332592964E+00
    1.7434899509E-01    5.6517391205E+00
    1.7635299265E-01    5.6699051857E+00
    1.7835700512E-01    5.6877641678E+00
    1.8036100268E-01    5.7053227425E+00
    1.8236500025E-01    5.7225861549E+00
    1.8436899781E-01    5.7395615578E+00
    1.8637299538E-01    5.7562551498E+00
    1.8837699294E-01    5.7726716995E+00
    1.9038100541E-01    5.7888174057E+00
    1.9238500297E-01    5.8046979904E+00
    1.9438900054E-01    5.8203177452E+00
    1.9639299810E-01    5.8356833458E+00
    1.9839699566E-01    5.8507986069E+00
    2.0040099323E-01    5.8656692505E+00
    2.0240500569E-01    5.8803000450E+00
    2.0440900326E-01    5.8946948051E+00
    2.0641300082E-01    5.9088587761E+00
    2.0841699839E-01    5.9227962494E+00
    2.1042099595E-01    5.9365115166E+00
    2.1242499352E-01    5.9500093460E+00
    2.1442900598E-01    5.9632930756E+00
    2.1643300354E-01    5.9763674736E+00
    2.1843700111E-01    5.9892358780E+00
    2.2044099867E-01    6.0019021034E+00
    2.2244499624E-01    6.0143704414E+00
    2.2444899380E-01    6.0266442299E+00
    2.2645300627E-01    6.0387272835E+00
    2.2845700383E-01    6.0506229401E+00
    2.3046100140E-01    6.0623340607E+00
    2.3246499896E-01    6.0738649368E+00
    2.3446899652E-01    6.0852184296E+00
    2.3647299409E-01    6.0963973999E+00
    2.3847700655E-01    6.1074056625E+00
    2.4048100412E-01    6.1182460785E+00
    2.4248500168E-01    6.1289210320E+00
    2.4448899925E-01    6.1394338608E+00
    2.4649299681E-01    6.1497879028E+00
    2.4849699438E-01    6.1599850655E+00
    2.5050100684E-01    6.1700282097E+00
    2.5250500441E-01    6.1799206734E+00
    2.5450900197E-01    6.1896648407E+00
    2.5651299953E-01    6.1992621422E+00
    2.5851699710E-01    6.2087159157E+00
    2.6052099466E-01    6.2180294991E+00
    2.6252499223E-01    6.2272043228E+00
    2.6452898979E-01    6.2362432480E+00
    2.6653298736E-01    6.2451477051E+00
    2.6853701472E-01    6.2539215088E+00
    2.7054101229E-01    6.2625651360E+00
    2.7254500985E-01    6.2710814476E+00
    2.7454900742E-01    6.2794723511E+00
    2.7655300498E-01    6.2877407074E+00
    2.7855700254E-01    6.2958874702E+00
    2.8056100011E-01    6.3039164543E+00
    2.8256499767E-01    6.3118276596E+00
    2.8456899524E-01    6.3196239471E+00
    2.8657299280E-01    6.3273077011E+00
    2.8857699037E-01    6.3348793983E+00
    2.9058098793E-01    6.3423418999E+00
    2.9258498549E-01    6.3496961594E+00
    2.9458901286E-01    6.3569445610E+00
    2.9659301043E-01    6.3640890121E+00
    2.9859700799E-01    6.3711304665E+00
    3.0060100555E-01    6.3780713081E+00
    3.0260500312E-01    6.3849124908E+00
    3.0460900068E-01    6.3916559219E+00
    3.0661299825E-01    6.3983025551E+00
    3.0861699581E-01    6.4048547745E+00
    3.1062099338E-01    6.4113144875E+00
    3.1262499094E-01    6.4176816940E+00
    3.1462898850E-01    6.4239583015E+00
    3.1663298607E-01    6.4301466942E+00
    3.1863701344E-01    6.4362478256E+00
    3.2064101100E-01    6.4422621727E+00
    3.2264500856E-01    6.4481921196E+00
    3.2464900613E-01    6.4540381432E+00
    3.2665300369E-01    6.4598021507E+00
    3.2865700126E-01    6.4654850960E+00
    3.3066099882E-01    6.4710888863E+00
    3.3266499639E-01    6.4766139984E+00
    3.3466899395E-01    6.4820618629E+00
    3.3667299151E-01    6.4874334335E+00
    3.3867698908E-01    6.4927310944E+00
