     time     force
  0.00000E+00  2.13197E-01
  2.00401E-03  2.33939E-01
  4.00802E-03  2.54569E-01
  6.01202E-03  2.75090E-01
  8.01603E-03  2.95502E-01
  1.00200E-02  3.15804E-01
  1.20240E-02  3.35998E-01
  1.40281E-02  3.56084E-01
  1.60321E-02  3.76063E-01
  1.80361E-02  3.95936E-01
  2.00401E-02  4.15702E-01
  2.20441E-02  4.35363E-01
  2.40481E-02  4.54919E-01
  2.60521E-02  4.74371E-01
  2.80561E-02  4.93719E-01
  3.00601E-02  5.12963E-01
  3.20641E-02  5.32105E-01
  3.40681E-02  5.51145E-01
  3.60721E-02  5.70083E-01
  3.80762E-02  5.88920E-01
  4.00802E-02  6.07657E-01
  4.20842E-02  6.26293E-01
  4.40882E-02  6.44830E-01
  4.60922E-02  6.63269E-01
  4.80962E-02  6.81608E-01
  5.01002E-02  6.99850E-01
  5.21042E-02  7.17995E-01
  5.41082E-02  7.36043E-01
  5.61122E-02  7.53994E-01
  5.81162E-02  7.71850E-01
  6.01202E-02  7.89610E-01
  6.21242E-02  8.07276E-01
  6.41283E-02  8.24847E-01
  6.61323E-02  8.42325E-01
  6.81363E-02  8.59709E-01
  7.01403E-02  8.77001E-01
  7.21443E-02  8.94200E-01
  7.41483E-02  9.11307E-01
  7.61523E-02  9.28323E-01
  7.81563E-02  9.45249E-01
  8.01603E-02  9.62084E-01
  8.21643E-02  9.78829E-01
  8.41683E-02  9.95485E-01
  8.61723E-02  1.01205E+00
  8.81764E-02  1.02853E+00
  9.01804E-02  1.04492E+00
  9.21844E-02  1.06122E+00
  9.41884E-02  1.07744E+00
  9.61924E-02  1.09357E+00
  9.81964E-02  1.10961E+00
  1.00200E-01  1.12557E+00
  1.02204E-01  1.14144E+00
  1.04208E-01  1.15723E+00
  1.06212E-01  1.17294E+00
  1.08216E-01  1.18856E+00
  1.10220E-01  1.20409E+00
  1.12224E-01  1.21955E+00
  1.14228E-01  1.23492E+00
  1.16232E-01  1.25021E+00
  1.18236E-01  1.26541E+00
  1.20240E-01  1.28054E+00
  1.22244E-01  1.29559E+00
  1.24248E-01  1.31055E+00
  1.26253E-01  1.32544E+00
  1.28257E-01  1.34024E+00
  1.30261E-01  1.35497E+00
  1.32265E-01  1.36962E+00
  1.34269E-01  1.38419E+00
  1.36273E-01  1.39868E+00
  1.38277E-01  1.41310E+00
  1.40281E-01  1.42744E+00
  1.42285E-01  1.44170E+00
  1.44289E-01  1.45588E+00
  1.46293E-01  1.46999E+00
  1.48297E-01  1.48403E+00
  1.50301E-01  1.49799E+00
  1.52305E-01  1.51188E+00
  1.54309E-01  1.52569E+00
  1.56313E-01  1.53942E+00
  1.58317E-01  1.55309E+00
  1.60321E-01  1.56668E+00
  1.62325E-01  1.58020E+00
  1.64329E-01  1.59365E+00
  1.66333E-01  1.60702E+00
  1.68337E-01  1.62032E+00
  1.70341E-01  1.63356E+00
  1.72345E-01  1.64672E+00
  1.74349E-01  1.65981E+00
  1.76353E-01  1.67283E+00
  1.78357E-01  1.68578E+00
  1.80361E-01  1.69867E+00
  1.82365E-01  1.71148E+00
  1.84369E-01  1.72423E+00
  1.86373E-01  1.73691E+00
  1.88377E-01  1.74952E+00
  1.90381E-01  1.76206E+00
  1.92385E-01  1.77454E+00
  1.94389E-01  1.78695E+00
  1.96393E-01  1.79929E+00
  1.98397E-01  1.81157E+00
  2.00401E-01  1.82378E+00
  2.02405E-01  1.83593E+00
