
 Successful steps:           107
 Bad steps:                    0
 Y(END)=  0.9978984      1.9028881E-03  9.1329588E-05
    10.0000E-09    33.2469E-03   661.2510E-03   305.1195E-03   383.0467E-06
    25.0000E-09    33.2471E-03   661.2508E-03   305.1194E-03   383.1363E-06
    47.5000E-09    33.2474E-03   661.2505E-03   305.1192E-03   383.2707E-06
    81.2500E-09    33.2479E-03   661.2501E-03   305.1190E-03   383.4723E-06
   131.8750E-09    33.2485E-03   661.2495E-03   305.1187E-03   383.7747E-06
   207.8125E-09    33.2495E-03   661.2484E-03   305.1183E-03   384.2284E-06
   321.7187E-09    33.2510E-03   661.2470E-03   305.1176E-03   384.9089E-06
   492.5781E-09    33.2532E-03   661.2448E-03   305.1166E-03   385.9296E-06
   748.8671E-09    33.2565E-03   661.2414E-03   305.1150E-03   387.4606E-06
     1.1333E-06    33.2615E-03   661.2364E-03   305.1127E-03   389.7571E-06
     1.7100E-06    33.2690E-03   661.2290E-03   305.1093E-03   393.2019E-06
     2.5749E-06    33.2802E-03   661.2177E-03   305.1041E-03   398.3688E-06
     3.8724E-06    33.2970E-03   661.2009E-03   305.0964E-03   406.1190E-06
     5.8186E-06    33.3222E-03   661.1757E-03   305.0848E-03   417.7435E-06
     8.7379E-06    33.3601E-03   661.1379E-03   305.0673E-03   435.1788E-06
    13.1168E-06    33.4168E-03   661.0811E-03   305.0412E-03   461.3282E-06
    19.6852E-06    33.5020E-03   660.9960E-03   305.0019E-03   500.5446E-06
    29.5378E-06    33.6297E-03   660.8683E-03   304.9431E-03   559.3518E-06
    44.3167E-06    33.8212E-03   660.6769E-03   304.8549E-03   647.5231E-06
    66.4851E-06    34.1084E-03   660.3898E-03   304.7226E-03   779.6919E-06
    99.7377E-06    34.5391E-03   659.9594E-03   304.5243E-03   977.7463E-06
   149.6165E-06    35.1847E-03   659.3143E-03   304.2271E-03     1.2744E-03
   224.4348E-06    36.1524E-03   658.3478E-03   303.7819E-03     1.7183E-03
   336.6621E-06    37.6023E-03   656.9008E-03   303.1155E-03     2.3820E-03
   505.0032E-06    39.7732E-03   654.7363E-03   302.1187E-03     3.3725E-03
   757.5148E-06    43.0207E-03   651.5028E-03   300.6302E-03     4.8468E-03
     1.1363E-03    47.8726E-03   646.6827E-03   298.4122E-03     7.0332E-03
     1.7044E-03    55.1065E-03   639.5193E-03   295.1184E-03    10.2564E-03
     2.5567E-03    65.8594E-03   628.9232E-03   290.2510E-03    14.9671E-03
     3.8350E-03    81.7705E-03   613.3580E-03   283.1119E-03    21.7603E-03
     5.7525E-03   105.1532E-03   590.7314E-03   272.7567E-03    31.3594E-03
     8.6288E-03   139.1623E-03   558.3512E-03   257.9842E-03    44.5030E-03
    12.9432E-03   187.8595E-03   513.0885E-03   237.4252E-03    61.6275E-03
    18.5341E-03   247.0248E-03   459.8673E-03   213.3831E-03    79.7255E-03
    24.7571E-03   307.9661E-03   407.1218E-03   189.6892E-03    95.2236E-03
    31.5401E-03   368.9136E-03   356.5313E-03   167.0765E-03   107.4793E-03
    38.8534E-03   428.7310E-03   309.0474E-03   145.9372E-03   116.2850E-03
    46.6823E-03   486.5756E-03   265.2512E-03   126.4912E-03   121.6826E-03
    55.0232E-03   541.8249E-03   225.4549E-03   108.8375E-03   123.8834E-03
    63.8808E-03   594.0262E-03   189.7741E-03    92.9907E-03   123.2096E-03
    73.2683E-03   642.8722E-03   158.1742E-03    78.9044E-03   120.0498E-03
    83.2906E-03   688.5264E-03   130.3029E-03    66.3970E-03   114.7743E-03
    94.0196E-03   730.9034E-03   105.9751E-03    55.3674E-03   107.7548E-03
   105.5177E-03   769.8704E-03    85.0214E-03    45.7290E-03    99.3799E-03
   117.4186E-03   804.1875E-03    67.7910E-03    37.6506E-03    90.3717E-03
   129.3950E-03   833.4696E-03    54.0790E-03    31.0694E-03    81.3827E-03
   141.4030E-03   858.3450E-03    43.2164E-03    25.7112E-03    72.7281E-03
