pCa	ATPase
6 48
10.19396233	0.083798867 0.015
9.021668354	-0.055837639 0.015
8.476566997	0.092348387 0.015
8.117496278	-0.010200618 0.015
7.849276472	-0.030194733 0.015
7.635076763	0.040140901 0.015
7.456726236	-0.008532557 0.015
7.303911731	0.006152036 0.015
7.170212685	-0.004263451 0.015
7.051359137	-0.055764131 0.015
6.944366875	0.007384704 0.015
6.847067881	-0.047214611 0.015
6.757837317	-0.017336527 0.015
6.675425898	0.016256528 0.015
6.598852334	0.052637223 0.015
6.52733171	0.069069039 0.015
6.460226305	0.020112859 0.015
6.397010902	0.095147337 0.015
6.337247753	-0.029623634 0.015
6.280568138	0.062447684 0.015
6.226658548	0.021311601 0.015
6.175250154	0.00427476 0.015
6.126110675	0.116990456 0.015
6.079038014	0.086043681 0.015
6.033855225	0.073394689 0.015
5.99040648	0.137663104 0.015
5.948553818	0.125506049 0.015
5.908174496	0.138364256 0.015
5.869158806	0.264181299 0.015
5.831408276	0.297016658 0.015
5.79483417	0.530234219 0.015
5.759356225	0.758102676 0.015
5.72490159	1.048695884 0.015
5.691403923	1.359085303 0.015
5.658802618	1.77906351 0.015
5.627042154	2.103046213 0.015
5.596071515	2.380973467 0.015
5.565843706	2.531647448 0.015
5.536315324	2.554514021 0.015
5.507446182	2.603996064 0.015
5.479198985	2.693160999 0.015
5.451539042	2.671911597 0.015
5.424434013	2.705176693 0.015
5.397853685	2.642593302 0.015
5.371769773	2.759074858 0.015
5.346155741	2.692346759 0.015
5.320986646	2.759074858 0.015
5.296238996	2.692346759 0.015
